company,search_company,review
"Adobe, Inc.",Adobe,11K
"Advance Auto Parts, Inc.",Advance Auto Parts,5K
"Advanced Micro Devices, Inc.",AMD,5K
AGCO Corp.,AGCO Corporation,7
"Agilent Technologies, Inc.",Agilent Technologies,3K
"Air Products & Chemicals, Inc.",Air Products,2K
"Akamai Technologies, Inc.",Akamai,3K
Altus Group Ltd.,Altus Group,786
Amdocs Ltd.,Amdocs,13K
American Homes 4 Rent,AMH,635
"American Tire Distributors, Inc.",American Tire Distributors,568
American Tower Corp.,American Tower,1K
"Annaly Capital Management, Inc.",Annaly Capital Management,29
"Applied Materials, Inc.",Applied Materials,5K
"AptarGroup, Inc.",Aptar,593
"Arrow Electronics, Inc.",Arrow Electronics,3K
"Automatic Data Processing, Inc.",ADP,22K
"AutoNation, Inc.",AutoNation,2K
"AutoZone, Inc.",AutoZone,7K
"AvalonBay Communities, Inc.",AvalonBay Communities,1K
"Avantor, Inc.",Avantor,1K
"Avis Budget Group, Inc.",Avis Budget Group,4K
"Avnet, Inc.",Avnet,2K
"Azenta, Inc.",Azenta Life Sciences,242
Ball Corp.,Ball Corporation,1K
"Bio-Rad Laboratories, Inc.",Bio-Rad Laboratories,1K
Bio-Techne Corp.,Bio-Techne,509
"BorgWarner, Inc.",BorgWarner,2K
"Boston Properties, Inc.",Boston Properties,179
"Brixmor Property Group, Inc.",Brixmor,134
"BRP, Inc.",BRP,806
Bruce Power LP,Bruce Temporary Services,2
"Cadence Design Systems, Inc.",Cadence Design Systems,3K
Canadian National Railway Co.,CN,2K
"Cardinal Health, Inc.",Cardinal Health,5K
"CarMax, Inc.",CarMax,8K
"Carter's, Inc.",Carter's,3K
"CBRE Group, Inc.",CBRE Group Inc,1
CDW Corp.,CDW,5K
"Celestica, Inc.",Celestica,1K
"Cencora, Inc.",Cencora,2K
"Charles River Laboratories International, Inc.",Charles River Laboratories,2K
Choice Properties Real Estate Investment Trust,,
"Cirrus Logic, Inc.",Cirrus Logic,383
"Cisco Systems, Inc.",Cisco,36K
"Cogeco Communications, Inc.",COGECO,261
Cognex Corp.,Cognex,457
Cognizant Technology Solutions Corp.,Cognizant Technology Solutions,114K
"Colliers International Group, Inc.",Colliers,3K
"Convergent Energy & Power, Inc.",Convergent Energy and Power,15
"Cousins Properties, Inc.",Cousins Properties,50
"Crown Castle, Inc.",Crown Castle,1K
"Crown Holdings, Inc.","Crown Holdings, Inc.",557
Danaher Corp.,Danaher,858
"Darling Ingredients, Inc.",Darling Ingredients,244
"Dentsply Sirona, Inc.",Dentsply Sirona,1K
"Digital Realty Trust, Inc.",Digital Realty,618
"Dolby Laboratories, Inc.",Dolby,794
Dream Industrial Real Estate Investment Trust,,
DXC Technology Co.,DXC Technology,28K
"Ecolab, Inc.",Ecolab,6K
"Electronic Arts, Inc.",Electronic Arts,5K
"Elevance Health, Inc.",Elevance Health,6K
"Enbridge, Inc.",Enbridge,2K
Enterprise Products Partners LP,Enterprise Products,528
Equity Residential,Equity Residential,1K
"Essex Property Trust, Inc.",Essex Property Trust,825
"Finning International, Inc.",Finning,513
First Capital Real Estate Investment Trust,,
First West Credit Union,First West Credit Union,123
Flex Ltd.,Flex,7K
Fox Corp.,Fox Corporation,225
Franco-Nevada Corp.,Franco-Nevada,7
Freehold Royalties Ltd.,Freehold Royalties,0
"Frontdoor, Inc.",Frontdoor,182
"General Mills, Inc.",General Mills,5K
Genuine Parts Co.,Genuine Parts Company,507
"Gibson Energy, Inc.",Gibson Energy,131
"Gildan Activewear, Inc.",Gildan,374
"GLOBALFOUNDRIES, Inc.",GlobalFoundries,3K
"Graham Packaging Co., Inc.",Graham Packaging,507
Granite Real Estate Investment Trust,Granite REIT,12
"Guidewire Software, Inc.",Guidewire,1K
"Hasbro, Inc.",Hasbro,1K
"Healthpeak Properties, Inc.",Healthpeak Properties,47
"Henry Schein, Inc.",Henry Schein,2K
Hewlett Packard Enterprise Co.,Hewlett Packard Enterprise,13
"Highwoods Properties, Inc.",Highwoods Properties,53
"Host Hotels & Resorts, Inc.",Host Hotels & Resorts,17
"HP, Inc.",HP Inc.,11K
Hydro One Ltd.,Hydro One,747
"IGM Financial, Inc.",IGM Financial,76
"Illumina, Inc.",Illumina,3K
"Ingersoll Rand, Inc.",Ingersoll Rand,988
Inter-American Development Bank,Inter-American Development Bank,870
Inter-American Investment Corp.,Inter-American Investment Corporation,24
International Bank for Reconstruction & Development,The World Bank,4K
International Business Machines Corp.,IBM,120K
International Finance Corp.,,
"Interpublic Group of Cos., Inc.",Interpublic Group,443
IPG Photonics Corp.,IPG Photonics,288
"Iron Mountain, Inc.",Iron Mountain,3K
"J.B. Hunt Transport Services, Inc.",J.B. Hunt Transport,4K
"Jabil, Inc.",Jabil,4K
"Jacobs Engineering Group, Inc.",Jacobs,8K
"Jones Lang LaSalle, Inc.",Jones Lang LaSalle,13K
"Keysight Technologies, Inc.",Keysight Technologies,3K
Killam Apartment REIT,Killam,44
Kilroy Realty Corp.,Kilroy Realty,70
Kimco Realty Corp.,Kimco Realty,128
"Kinaxis, Inc.",Kinaxis,453
"Kinder Morgan, Inc.",Kinder Morgan,1K
"L3Harris Technologies, Inc.",L3Harris,5K
Labrador Iron Ore Royalty Corp.,,
Lam Research Corp.,Lam Research,2K
Lear Corp.,Lear Corporation,3K
"Life Storage, Inc.",Life Storage,394
"Lithia Motors, Inc.",Lithia & Driveway,863
LKQ Corp.,LKQ,1K
"Lowe's Companies, Inc.",Lowe's Home Improvement,45K
"Lumentum Holdings, Inc.",Lumentum Operations,583
"ManpowerGroup, Inc.",ManpowerGroup,3K
"Maravai Lifesciences Holdings, Inc.",Maravai LifeSciences,17
Massachusetts Mutual Life Insurance Co.,MassMutual,3K
McKesson Corp.,McKesson,6K
"Mettler-Toledo International, Inc.",Mettler-Toledo,1K
Microsoft Corp.,Microsoft,59K
"Mid-America Apartment Communities, Inc.",MAA,710
"MKS Instruments, Inc.",MKS Instruments,391
"Mohawk Industries, Inc.",Mohawk Industries,1K
"Motorola Solutions, Inc.",Motorola Solutions,5K
"Nasdaq, Inc.",Nasdaq,1K
National Instruments Corp.,National Instruments,3K
News Corp.,News Corp,983
NVIDIA Corp.,NVIDIA,6K
Oncor Electric Delivery Co. LLC,,
"Ontario Power Generation, Inc.",Ontario Power Generation,1K
"Opendoor Technologies, Inc.",Opendoor,919
Oracle Corp.,Oracle,57K
"O'Reilly Automotive, Inc.",O'Reilly Auto Parts,4K
Osisko Gold Royalties Ltd.,Osisko,13
Otis Worldwide Corp.,,
"Palo Alto Networks, Inc.",Palo Alto Networks,3K
"Parex Resources, Inc.",Parex Resources,16
Pembina Pipeline Corp.,Pembina Pipeline Corp,258
"Penske Automotive Group, Inc.",Penske Automotive Group,838
"PepsiCo, Inc.",PepsiCo,22K
Pfizer Inc.,Pfizer,11K
Polaris Inc.,Polaris,1K
Pool Corp.,Pool,6
PrairieSky Royalty Ltd.,PrairieSky Royalty,13
"Principal Financial Group, Inc.",Principal Financial Group,3K
"Prologis, Inc.",Prologis,491
Public Storage,Public Storage,2K
"QUALCOMM, Inc.",Qualcomm,11K
"Rayonier, Inc.",Rayonier,140
"Recursion Pharmaceuticals, Inc.",Recursion Pharmaceuticals,141
Regency Centers Corp.,Regency Centers,132
"Regeneron Pharmaceuticals, Inc.",Regeneron,2K
Repligen Corp.,Repligen,175
"Revvity, Inc.",Revvity,124
"Rexford Industrial Realty, Inc.",Rexford Industrial,63
RioCan Real Estate Investment Trust,RioCan,112
"Robert Half, Inc.",Robert Half,14K
"Royal Gold, Inc.",Royal Gold,0
"Ryder System, Inc.",Ryder System,3K
"Salesforce, Inc.",Salesforce,22K
Sandstorm Gold Ltd.,,
SBA Communications Corp.,SBA Communications,642
Seagate Technology Holdings Plc,Seagate Technology,3K
Sensata Technologies Holding Plc,Sensata Technologies,1K
"Simon Property Group, Inc.",Simon Property Group,836
SL Green Realty Corp.,SL Green Realty,83
Spin Master Corp.,Spin Master,558
"Stantec, Inc.",Stantec,3K
"Starwood Property Trust, Inc.",Starwood Property,52
"Sun Life Financial, Inc.","Sun Pharmaceutical Industries, Inc.",1K
"Synopsys, Inc.",Synopsys,4K
"Take-Two Interactive Software, Inc.",Take-Two,181
TD SYNNEX Corp.,TD SYNNEX,1K
Teck Resources Limited,Teck Resources Limited,994
"TELUS International (CDA), Inc.",TELUS Digital,6K
Texas Pacific Land Corp.,Texas Pacific Land Trust,1
The Cigna Group,The Cigna Group,7K
"The Descartes Systems Group, Inc.",,
The Hershey Co.,The Hershey Company,2K
"The Home Depot, Inc.",The Home Depot,54K
The New York Times Co.,New York Times,985
The Western Union Co.,Western Union,3K
"The Williams Cos., Inc.","Williams-Sonoma, Inc.",4K
"Thermo Fisher Scientific, Inc.",Thermo Fisher Scientific,13K
Topaz Energy Corp.,Topaz,101
"Trimble, Inc.",Trimble,2K
Triple Flag Precious Metals Corp.,,
"Udemy, Inc.",Udemy,690
"UnitedHealth Group, Inc.",UnitedHealth Group,17K
Universal Display Corp.,Universal Display,14
US Foods Holding Corp.,Japan Foods Holding,64
"Valvoline, Inc.",Valvoline,971
"Ventas, Inc.","Ventas, Inc.",76
Vontier Corp.,Vontier,29
"W.W. Grainger, Inc.",Grainger,5K
Waters Corp.,Waters,1K
Welltower OP LLC,,
Western Digital Corp.,Western Digital,5K
Wheaton Precious Metals Corp.,,
"Williams-Sonoma, Inc.","Williams-Sonoma, Inc.",4K
Windstream Services LLC,,
"WSP Global, Inc.",WSP,7K
"Xylem, Inc.",Xylem,1K
"YETI Holdings, Inc.",Yeti (Russia),0
Zebra Technologies Corp.,Zebra Technologies,2K
"Zoetis, Inc.",Zoetis,1K
Zurn Elkay Water Solutions Corp.,Zurn Elkay Water Solutions,782
